mp_norm,mp_name_works,state,total_sanctioned_amount,number_of_works,average_work_amount,maximum_work_amount,allocated_amt,allocated_amount,is_allocation_matched,utilization_percentage,remaining_amount,utilization_alert,fund_utilization_score
bastipati nagaraju panchalingala,BASTIPATI NAGARAJU PANCHALINGALA,Andhra Pradesh,24381594.0,78,312584.53846153844,2998485.0,159998515.11,159998515.11,True,15.238637673129338,135616921.11,NORMAL,15.0
benny behanan,Shri Benny Behanan,Kerala,28141280.0,52,541178.4615384615,3500000.0,164674770.11,164674770.11,True,17.08900518349113,136533490.11,NORMAL,15.0
bhagirath chaudhary,Bhagirath Chaudhary,Rajasthan,31611205.0,43,735144.3023255814,5100000.0,147000000.0,147000000.0,True,21.504221088435376,115388795.0,NORMAL,15.0
bharat singh kushwah,BHARAT SINGH KUSHWAH,Madhya Pradesh,5077201.0,4,1269300.25,1800000.0,151455276.04,151455276.04,True,3.35227740673695,146378075.04,NORMAL,15.0
bharatbhai manubhai sutariya,BHARATBHAI MANUBHAI SUTARIYA,Gujarat,39704955.0,108,367638.47222222225,2999995.0,147000000.0,147000000.0,True,27.010173469387755,107295045.0,NORMAL,15.0
bharatsinhji shankarji dabhi,Bharatsinhji Shankarji Dabhi,Gujarat,44890716.0,137,327669.4598540146,1100000.0,147000000.0,147000000.0,True,30.537902040816327,102109284.0,NORMAL,15.0
bharti pardhi,BHARTI PARDHI,Madhya Pradesh,47687826.0,80,596097.825,2500000.0,154398389.01,154398389.01,True,30.88621993129176,106710563.00999999,NORMAL,15.0
bhartruhari mahtab,Shri Bhartruhari Mahtab,Odisha,23603000.0,87,271298.8505747126,990000.0,147000000.0,147000000.0,True,16.056462585034016,123397000.0,NORMAL,15.0
bhaskar murlidhar bhagare,BHASKAR MURLIDHAR BHAGARE,Maharashtra,32929801.0,38,866573.7105263158,1000000.0,147000000.0,147000000.0,True,22.401225170068027,114070199.0,NORMAL,15.0
bhausaheb rajaram wakchaure,BHAUSAHEB RAJARAM WAKCHAURE,Maharashtra,31482726.0,54,583013.4444444445,1500000.0,147000000.0,147000000.0,True,21.416820408163264,115517274.0,NORMAL,15.0
bhojraj nag,BHOJRAJ NAG,Chhattisgarh,32793171.0,47,697727.0425531915,1000000.0,164672734.11,164672734.11,True,19.91414740104724,131879563.11000001,NORMAL,15.0
bhola singh,Bhola Singh,Uttar Pradesh,48716418.0,48,1014925.375,2035193.0,147000000.0,147000000.0,True,33.140420408163266,98283582.0,NORMAL,15.0
bhumare sandipanrao asaram,BHUMARE SANDIPANRAO ASARAM,Maharashtra,30902968.0,19,1626472.0,2499612.0,147000000.0,147000000.0,True,21.022427210884352,116097032.0,NORMAL,15.0
bhupender yadav,BHUPENDER YADAV,Rajasthan,45414799.0,31,1464993.5161290322,5800000.0,147000000.0,147000000.0,True,30.894421088435376,101585201.0,NORMAL,15.0
bibhu prasad tarai,BIBHU PRASAD TARAI,Odisha,9349588.0,39,239733.02564102566,900000.0,147000000.0,147000000.0,True,6.3602639455782315,137650412.0,NORMAL,15.0
bijuli kalita medhi,BIJULI KALITA MEDHI,Assam,44700000.0,54,827777.7777777778,2800000.0,147000000.0,147000000.0,True,30.408163265306122,102300000.0,NORMAL,15.0
biplab kumar deb,BIPLAB KUMAR DEB,Tripura,44599694.0,7,6371384.857142857,11517641.0,147000000.0,147000000.0,True,30.339927891156464,102400306.0,NORMAL,15.0
bishnu pada ray,BISHNU PADA RAY,Andaman And Nicobar Islands,18732344.0,7,2676049.1428571427,4992971.0,147000000.0,147000000.0,True,12.743091156462585,128267656.0,NORMAL,15.0
brijendra singh ola,BRIJENDRA SINGH OLA,Rajasthan,32475663.0,59,550434.966101695,1040000.0,147000000.0,147000000.0,True,22.092287755102042,114524337.0,NORMAL,15.0
brijmohan agrawal,BRIJMOHAN AGRAWAL,Chhattisgarh,47075504.0,67,702619.4626865672,1500000.0,153766451.11,153766451.11,True,30.614938213228037,106690947.11000001,NORMAL,15.0
bunty vivek sahu,BUNTY VIVEK SAHU,Madhya Pradesh,51774130.0,233,222206.56652360514,1000000.0,147000000.0,147000000.0,True,35.22049659863946,95225870.0,NORMAL,15.0
byreddy shabari,DR BYREDDY SHABARI,Andhra Pradesh,39423392.0,80,492792.4,1299518.0,150675889.11,150675889.11,True,26.164366596980354,111252497.11000001,NORMAL,15.0
c m ramesh,C.M.RAMESH,Andhra Pradesh,2480752.0,1,2480752.0,2480752.0,202531656.11,202531656.11,True,1.224871236253873,200050904.11,NORMAL,15.0
c n manjunath,DR C N MANJUNATH,Karnataka,44564113.0,95,469095.92631578946,1000000.0,147000000.0,147000000.0,True,30.315723129251698,102435887.0,NORMAL,15.0
c r patil,C R Patil,Gujarat,48358530.0,203,238219.35960591133,1000000.0,158532494.36,158532494.36,True,30.503859915422826,110173964.36000001,NORMAL,15.0
captain brijesh chowta,CAPTAIN BRIJESH CHOWTA,Karnataka,23847635.0,55,433593.36363636365,500000.0,147000000.0,147000000.0,True,16.22288095238095,123152365.0,NORMAL,15.0
captain viriato fernandes,CAPTAIN VIRIATO FERNANDES,Goa,25081615.0,19,1320085.0,5000000.0,147000000.0,147000000.0,True,17.0623231292517,121918385.0,NORMAL,15.0
chamala kiran kumar reddy,CHAMALA KIRAN KUMAR REDDY,Telangana,47331258.0,367,128968.00544959128,500000.0,147000000.0,147000000.0,True,32.19813469387755,99668742.0,NORMAL,15.0
chandan chauhan,CHANDAN CHAUHAN,Uttar Pradesh,47749843.0,58,823273.1551724138,1507000.0,147000000.0,147000000.0,True,32.48288639455782,99250157.0,NORMAL,15.0
chandra prakash choudhary,Shri Chandra Prakash Choudhary,Jharkhand,39886462.0,454,87855.64317180616,500000.0,147000000.0,147000000.0,True,27.13364761904762,107113538.0,NORMAL,15.0
chandra prakash joshi,Chandra Prakash Joshi,Rajasthan,4193529.0,10,419352.9,1500000.0,147000000.0,147000000.0,True,2.8527408163265306,142806471.0,NORMAL,15.0
chandra sekhar pemmasani,Dr Chandra Sekhar Pemmasani,Andhra Pradesh,32056054.0,21,1526478.761904762,5000000.0,159774113.11,159774113.11,True,20.063359061132953,127718059.11000001,NORMAL,15.0
chandra shekhar,CHANDRA SHEKHAR,Uttar Pradesh,48615122.0,168,289375.7261904762,2068782.0,147000000.0,147000000.0,True,33.07151156462585,98384878.0,NORMAL,15.0
chandubhai chhaganbhai shihora,CHANDUBHAI CHHAGANBHAI SHIHORA,Gujarat,40364648.0,98,411884.1632653061,1500000.0,147000000.0,147000000.0,True,27.458944217687076,106635352.0,NORMAL,15.0
charanjit singh channi,CHARANJIT SINGH CHANNI,Punjab,13353036.0,37,360892.86486486485,2835544.0,147000000.0,147000000.0,True,9.083697959183674,133646964.0,NORMAL,15.0
chhatra pal singh gangwar,CHHATRA PAL SINGH GANGWAR,Uttar Pradesh,31318582.0,50,626371.64,1379624.0,147000000.0,147000000.0,True,21.30515782312925,115681418.0,NORMAL,15.0
chhatrapati shahu shahaji,CHHATRAPATI SHAHU SHAHAJI,Maharashtra,8840286.0,10,884028.6,1500000.0,147000000.0,147000000.0,True,6.0138,138159714.0,NORMAL,15.0
chhotelal,CHHOTELAL,Uttar Pradesh,45473887.0,185,245804.7945945946,1650000.0,147000000.0,147000000.0,True,30.93461700680272,101526113.0,NORMAL,15.0
chintamani maharaj,CHINTAMANI MAHARAJ,Chhattisgarh,52567907.0,153,343581.091503268,2456908.0,147000000.0,147000000.0,True,35.76048095238095,94432093.0,NORMAL,15.0
cn annadurai,CN Annadurai,Tamil Nadu,53167397.0,118,450571.16101694916,5000000.0,148579509.11,148579509.11,True,35.78380176275708,95412112.11000001,NORMAL,15.0
d ravikumar,D Ravikumar,Tamil Nadu,62347362.0,101,617300.6138613861,5426798.0,197598306.11,197598306.11,True,31.552579183190044,135250944.11,NORMAL,15.0
