state,ida,total_works,total_sanction_amount,mean_work_amount,mean_risk_score,critical_high_count,critical_pct,state_avg_risk,risk_variance_vs_state,geographic_risk_score,geographic_reason
Rajasthan,Balotra(DISTRICT COLLECTOR Balotra_IDA),43,20335765.0,472924.76744186046,26.27441860465116,1,2.3255813953488373,26.282744282744282,-0.008325678093122235,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,Beawar(DISTRICT COLLECTOR Beawar_IDA),9,6999600.0,777733.3333333334,55.611111111111114,3,33.33333333333333,26.282744282744282,29.328366828366832,85.0,IDA average risk (55.6) is significantly higher than state baseline (26.3). | High concentration of flagged projects (33.3% critical/high risk).
Rajasthan,CHITTORGARH(DISTRICT COLLECTOR CHITTORGARH_IDA),9,4646389.0,516265.44444444444,22.644444444444446,0,0.0,26.282744282744282,-3.6382998382998366,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,CHURU(DISTRICT COLLECTOR CHURU_IDA),45,43296130.0,962136.2222222222,29.97555555555556,0,0.0,26.282744282744282,3.6928112728112765,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,DAUSA(DISTRICT COLLECTOR DAUSA_IDA),3,2935573.0,978524.3333333334,29.23333333333333,0,0.0,26.282744282744282,2.9505890505890484,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA),47,51116471.0,1087584.4893617022,23.836170212765957,0,0.0,26.282744282744282,-2.4465740699783254,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,Deeg(DISTRICT COLLECTOR Deeg_IDA),16,6949858.0,434366.125,34.925,0,0.0,26.282744282744282,8.642255717255715,40.0,District and IDA parameters match regional baseline standards.
Rajasthan,Dudu(DISTRICT COLLECTOR Dudu_IDA),3,2457063.0,819021.0,23.46666666666667,0,0.0,26.282744282744282,-2.8160776160776138,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA),11,5792250.0,526568.1818181818,25.136363636363637,0,0.0,26.282744282744282,-1.1463806463806456,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA),15,17897015.0,1193134.3333333333,35.28666666666666,0,0.0,26.282744282744282,9.00392238392238,40.0,District and IDA parameters match regional baseline standards.
