work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,v1_anomaly_score,cost_anomaly_score,delay_anomaly_score,duplicate_score,fund_utilization_score,v1_contrib,cost_contrib,delay_contrib,duplicate_contrib,fund_contrib,base_weighted_sum,max_signal,composite_risk_score,risk_level,risk_reasons,geographic_score,agency_score,v2_composite_score,geo_contrib,agency_contrib,real_weighted_sum,real_max_signal,real_composite_risk_score,final_composite_risk_score,unified_explanation
WS/MP18221/2025-2026/140946-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,264,Vendor Identification,19.2,15.0,75.0,99.99999999999994,15.0,5.76,2.25,11.25,10.0,1.5,38.43,99.99999999999994,76.9,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 264 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,85.0,75.4,9.5,8.5,48.76,99.99999999999994,76.9,76.9,Recommendation-to-sanction approval delay of 264 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18221/2025-2026/140833-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED semi High Mast Light,2024-09-14,2025-06-05,243000.0,264,Vendor Identification,19.2,15.0,75.0,99.99999999999994,15.0,5.76,2.25,11.25,10.0,1.5,38.43,99.99999999999994,76.9,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 264 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,85.0,75.4,9.5,8.5,48.76,99.99999999999994,76.9,76.9,Recommendation-to-sanction approval delay of 264 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18250/2025-2026/140436-Street lights,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),SK NURUL ISLAM,BASIRHAT,Normal/Others,Installation of 12 miters Highmast Light with with 6nos. IP65 Flood light with high power Led at Narayanapur Bazar under Jadurhati Uttar G.P & Baduria Panchayat Samity (SL.No.- 38).,2024-09-12,2025-10-14,500000.0,397,Work Completed,34.4,15.0,100.0,0.0,45.0,10.32,2.25,15.0,0.0,4.5,37.76,100.0,76.9,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 397 days.,95.0,70.0,75.1,9.5,7.0,48.57,100.0,76.9,76.9,Recommendation-to-sanction approval delay of 397 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18190/2025-2026/171380-Street lights,Telangana,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,Normal/Others,"Installation of High Mast Flood lights near Sara Sambaiah (H) at Kammapally (V), Narsampet (M), Warangal Dist",2025-02-01,2026-03-24,167000.0,416,Work Completed,31.9,15.0,100.0,35.70350227080865,15.0,9.57,2.25,15.0,3.5704,1.5,37.6155,100.0,76.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 416 days.,95.0,70.0,75.0,9.5,7.0,48.3904,100.0,76.8,76.8,Recommendation-to-sanction approval delay of 416 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18079/2025-2026/176751-Construction of community centers and community halls,Karnataka,BIDAR(DEPUTY COMMISSIONER BIDAR_IDA),SAGAR ESHWAR KHANDRE,BIDAR,Normal/Others,improvement work of cultural hall,2025-02-21,2025-12-18,499000.0,300,Sanction,26.6,15.0,75.0,100.00000000000004,15.0,7.98,2.25,11.25,10.0,1.5,41.39,100.00000000000004,76.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 300 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,76.6,8.5,7.0,48.480000000000004,100.00000000000004,76.8,76.8,Recommendation-to-sanction approval delay of 300 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18423/2025-2026/180112-Purchase of vans and buses for educational institutions,Kerala,KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),Priyanka Gandhi Vadra,WAYANAD,Normal/Others,Purchase School Bus forG.L.P.School  Anayamkunnu,2025-03-07,2026-03-11,2300000.0,369,Vendor Identification,43.9,15.0,100.0,0.0,15.0,13.17,2.25,15.0,0.0,1.5,37.06,100.0,76.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 369 days.,95.0,70.0,74.8,9.5,7.0,48.42,100.0,76.8,76.8,Recommendation-to-sanction approval delay of 369 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18190/2025-2026/171372-Street lights,Telangana,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,Normal/Others,"Installation of High Mast Flood lights near Bodari at Kammapally (V), Narsampet (M), Warangal Dist",2025-02-01,2026-03-24,167000.0,416,Work Completed,31.9,15.0,100.0,35.70350227080865,15.0,9.57,2.25,15.0,3.5704,1.5,37.6155,100.0,76.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 416 days.,95.0,70.0,75.0,9.5,7.0,48.3904,100.0,76.8,76.8,Recommendation-to-sanction approval delay of 416 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18097/2025-2026/188515-Lighting of public spaces,Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),SHAFI PARAMBIL,VADAKARA,Normal/Others,"Installation of Mini Mast Light. 8mtr, 150w x 5 Nos. (9.2)",2025-03-31,2026-01-23,200000.0,298,Sanction,23.3,15.0,75.0,100.00000000000004,15.0,6.99,2.25,11.25,10.0,1.5,40.07,100.00000000000004,76.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 298 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,76.0,9.5,7.0,48.49,100.00000000000004,76.8,76.8,Recommendation-to-sanction approval delay of 298 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18400/2025-2026/159569-Fitting of Sitting RCC Benches in Public Places,Delhi,SOUTH WEST(COMMISSIONER MCD SOUTH WEST),Kamaljeet Sehrawat,WEST DELHI,Normal/Others,Bench,2024-12-23,2025-12-16,1898345.0,358,Sanction,36.7,15.0,75.0,100.0,15.0,11.01,2.25,11.25,10.0,1.5,45.43,100.0,76.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 358 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,70.0,55.0,78.2,7.0,5.5,48.51,100.0,76.8,76.8,Recommendation-to-sanction approval delay of 358 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18079/2025-2026/176752-Construction of community centers and community halls,Karnataka,BIDAR(DEPUTY COMMISSIONER BIDAR_IDA),SAGAR ESHWAR KHANDRE,BIDAR,Normal/Others,improvement work of cultural hall,2025-02-21,2025-12-18,499000.0,300,Sanction,26.6,15.0,75.0,100.00000000000004,15.0,7.98,2.25,11.25,10.0,1.5,41.39,100.00000000000004,76.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 300 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,76.6,8.5,7.0,48.480000000000004,100.00000000000004,76.8,76.8,Recommendation-to-sanction approval delay of 300 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP356/2025-2026/194346-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Shri Sudheer Gupta,MANDSOUR,Normal/Others,construction of cc road,2025-04-25,2026-02-16,150000.0,297,Vendor Identification,26.4,15.0,75.0,100.0,15.0,7.92,2.25,11.25,10.0,1.5,41.31,100.0,76.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 297 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,76.5,8.5,7.0,48.42,100.0,76.8,76.8,Recommendation-to-sanction approval delay of 297 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18066/2026-2027/185904-Construction of public libraries and reading rooms,Haryana,JIND(DEPUTY COMMISSIONER JIND),SELJA,SIRSA(SC),Trust and Society,"Construction of E-Library in Ch. Chhotu Ram Memorial Trust Narwana, Jind",2025-03-24,2026-04-02,1099769.0,374,Sanction,82.0,15.0,100.0,0.0,15.0,24.6,2.25,15.0,0.0,1.5,52.3,100.0,76.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 374 days. | 🟠 Category signal: Special entity category 'Trust and Society'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.,20.0,30.0,80.9,2.0,3.0,48.35,100.0,76.8,76.8,Recommendation-to-sanction approval delay of 374 days.
WS/MP664/2026-2027/146583-Construction of community centers and community halls,Maharashtra,MUMBAI(DISTRICT COLLECTOR MUMBAI CITY_IDA),Arvind Ganpat Sawant,MUMBAI SOUTH,Normal/Others,near to aashray dharmaday trust khetwadi 5th lane malbarhill,2024-10-09,2026-05-18,2500000.0,586,Vendor Identification,47.2,15.0,100.0,0.0,15.0,14.16,2.25,15.0,0.0,1.5,38.379999999999995,100.0,76.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 586 days.,85.0,70.0,75.4,8.5,7.0,48.41,100.0,76.8,76.8,Recommendation-to-sanction approval delay of 586 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18079/2025-2026/167734-Construction of community centers and community halls,Karnataka,BIDAR(DEPUTY COMMISSIONER BIDAR_IDA),SAGAR ESHWAR KHANDRE,BIDAR,Normal/Others,Construction of Balance work of Cultural Hall,2025-01-22,2025-11-11,499000.0,293,Sanction,26.6,15.0,75.0,100.0,15.0,7.98,2.25,11.25,10.0,1.5,41.39,100.0,76.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 293 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,76.6,8.5,7.0,48.480000000000004,100.0,76.8,76.8,Recommendation-to-sanction approval delay of 293 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP243/2025-2026/141151-Development of public parks,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Development of open gym with Children park with solar light and boundary,2024-09-15,2025-08-08,988121.0,327,Physical Inspection,22.6,15.0,75.0,100.0,15.0,6.78,2.25,11.25,10.0,1.5,39.79,100.0,76.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 327 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,75.9,9.5,7.0,48.28,100.0,76.7,76.7,Recommendation-to-sanction approval delay of 327 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18097/2025-2026/188512-Lighting of public spaces,Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),SHAFI PARAMBIL,VADAKARA,Normal/Others,"Installation of Mini Mast Light. 8mtr, 150w x 5 Nos. (9.2)",2025-03-31,2025-10-21,200000.0,204,Sanction,22.6,15.0,75.0,100.00000000000004,15.0,6.78,2.25,11.25,10.0,1.5,39.79,100.00000000000004,76.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 204 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,75.9,9.5,7.0,48.28,100.00000000000004,76.7,76.7,Recommendation-to-sanction approval delay of 204 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18312/2026-2027/157891-Construction of community centers and community halls,Tamil Nadu,TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA),DURAI VAIKO,TIRUCHIRAPPALLI,Normal/Others,Construction of Community Hall in Periyar Nagar (Vengur VP) in Tiruverumbur Panchayat Union,2024-12-10,2026-05-13,4800000.0,519,Physical Inspection,51.7,15.0,100.0,0.0,15.0,15.51,2.25,15.0,0.0,1.5,40.18,100.0,76.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 519 days.,70.0,70.0,76.1,7.0,7.0,48.26,100.0,76.7,76.7,Recommendation-to-sanction approval delay of 519 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18097/2025-2026/188513-Lighting of public spaces,Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),SHAFI PARAMBIL,VADAKARA,Normal/Others,"Installation of Mini Mast Light. 8mtr, 150w x 5 Nos. (9.2)",2025-03-31,2025-11-13,200000.0,227,Sanction,22.6,15.0,75.0,100.00000000000004,15.0,6.78,2.25,11.25,10.0,1.5,39.79,100.00000000000004,76.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 227 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,75.9,9.5,7.0,48.28,100.00000000000004,76.7,76.7,Recommendation-to-sanction approval delay of 227 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18389/2025-2026/156768-Construction of boundary walls of existing public and community buildings,Telangana,WARANGAL(District Collector Warangal_IDA),KADIYAM KAVYA,WARANGEL(SC),Normal/Others,"Construction of Compound Wall to Pragathi Mandala Samakya Building at Konaimakula (V), Geesugonda (M), Warangal Dist.",2024-12-04,2026-03-24,1000000.0,475,Work Completed,43.5,15.0,100.0,0.0,15.0,13.05,2.25,15.0,0.0,1.5,36.9,100.0,76.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 475 days.,95.0,70.0,74.8,9.5,7.0,48.3,100.0,76.7,76.7,Recommendation-to-sanction approval delay of 475 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18089/2026-2027/181715-Construction of rooms and halls in school and colleges,Karnataka,RAICHUR(DEPUTY COMMISSIONER RAICHUR_IDA),K. RAJASHEKAR BASAVARAJ HITNAL,KOPPAL,Trust and Society,Construction of continued Asha Kirana Orphan and Poor Childrens school building work runned by samarphan development Organisation in Sindhanur town of koppal parlimentary constituency.,2025-03-17,2026-07-10,500000.0,480,Vendor Identification,68.4,15.0,100.0,0.0,15.0,20.52,2.25,15.0,0.0,1.5,46.86,100.0,76.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 480 days. | 🟠 Category signal: Special entity category 'Trust and Society'.,35.0,55.0,78.7,3.5,5.5,48.269999999999996,100.0,76.7,76.7,Recommendation-to-sanction approval delay of 480 days.
WS/MP18079/2025-2026/176758-Construction of community centers and community halls,Karnataka,BIDAR(DEPUTY COMMISSIONER BIDAR_IDA),SAGAR ESHWAR KHANDRE,BIDAR,Normal/Others,improvement work of ambedkar bhavan,2025-02-21,2025-12-18,200000.0,300,Sanction,25.4,15.0,75.0,100.0,15.0,7.62,2.25,11.25,10.0,1.5,40.91,100.0,76.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 300 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,76.4,8.5,7.0,48.120000000000005,100.0,76.7,76.7,Recommendation-to-sanction approval delay of 300 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18097/2025-2026/188439-Lighting of public spaces,Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),SHAFI PARAMBIL,VADAKARA,Normal/Others,"Installation of Mini Mast Light. 8mtr, 150w x 5 Nos. (9.2)",2025-03-31,2025-10-22,200000.0,205,Sanction,22.6,15.0,75.0,100.00000000000004,15.0,6.78,2.25,11.25,10.0,1.5,39.79,100.00000000000004,76.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 205 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,75.9,9.5,7.0,48.28,100.00000000000004,76.7,76.7,Recommendation-to-sanction approval delay of 205 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP243/2025-2026/141152-Development of public parks,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Development of open gym with Children park with solar light and boundary,2024-09-15,2025-08-08,988121.0,327,Physical Inspection,22.6,15.0,75.0,100.0,15.0,6.78,2.25,11.25,10.0,1.5,39.79,100.0,76.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 327 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,75.9,9.5,7.0,48.28,100.0,76.7,76.7,Recommendation-to-sanction approval delay of 327 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18249/2025-2026/153603-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),PARTHA BHOWMICK,BARRACKPUR,Normal/Others,Development of Bhatpara State General Hospital.,2024-11-21,2025-08-18,20000000.0,270,Vendor Identification,75.9,15.0,75.0,0.0,15.0,22.77,2.25,11.25,0.0,1.5,46.11,75.9,76.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 270 days. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.,95.0,70.0,64.0,9.5,7.0,54.269999999999996,95.0,76.7,76.7,Recommendation-to-sanction approval delay of 270 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18079/2025-2026/176760-Construction of community centers and community halls,Karnataka,BIDAR(DEPUTY COMMISSIONER BIDAR_IDA),SAGAR ESHWAR KHANDRE,BIDAR,Normal/Others,improvement work of ambedkar bhavan,2025-02-21,2025-12-18,200000.0,300,Sanction,25.4,15.0,75.0,100.0,15.0,7.62,2.25,11.25,10.0,1.5,40.91,100.0,76.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 300 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,76.4,8.5,7.0,48.120000000000005,100.0,76.7,76.7,Recommendation-to-sanction approval delay of 300 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18249/2025-2026/153601-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),PARTHA BHOWMICK,BARRACKPUR,Normal/Others,Development of Naihati State General Hospital.,2024-11-21,2025-08-18,20000000.0,270,Vendor Identification,75.9,15.0,75.0,0.0,15.0,22.77,2.25,11.25,0.0,1.5,46.11,75.9,76.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 270 days. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.,95.0,70.0,64.0,9.5,7.0,54.269999999999996,95.0,76.7,76.7,Recommendation-to-sanction approval delay of 270 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP017/2025-2026/160053-Construction of public toilets and bathrooms,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,Construction of Public Toilet,2024-12-19,2025-12-20,500000.0,366,Physical Inspection,13.5,15.0,100.0,100.00000000000004,15.0,4.05,2.25,15.0,10.0,1.5,39.9,100.00000000000004,76.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 366 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,76.0,8.5,7.0,48.3,100.00000000000004,76.7,76.7,Recommendation-to-sanction approval delay of 366 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18142/2025-2026/190267-Construction of roads, link roads, pathways or any other road with or without drainage system",Odisha,JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA),BIBHU PRASAD TARAI,JAGATSINGHPUR(SC),Normal/Others,Construction of CC Road,2025-04-09,2026-02-19,150000.0,316,Sanction,30.6,15.0,75.0,100.0,15.0,9.18,2.25,11.25,10.0,1.5,42.99,100.0,76.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 316 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,55.0,77.2,8.5,5.5,48.18,100.0,76.7,76.7,Recommendation-to-sanction approval delay of 316 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP243/2025-2026/141153-Development of public parks,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Development of open gym with Children park with solar light and boundary,2024-09-15,2025-08-08,988121.0,327,Physical Inspection,22.6,15.0,75.0,100.0,15.0,6.78,2.25,11.25,10.0,1.5,39.79,100.0,76.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 327 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,70.0,75.9,9.5,7.0,48.28,100.0,76.7,76.7,Recommendation-to-sanction approval delay of 327 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18328/2026-2027/148155-Purchase Books for Library,Himachal Pradesh,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,Bar and Associations,Purchasing of Books for Library  of BAR Assocation Chachiot at Gohar. Work Executed By - BAR Association Chachiot at Gohar District Mandi.,2024-10-18,2026-07-21,50000.0,641,Vendor Identification,83.3,15.0,100.0,0.0,15.0,24.99,2.25,15.0,0.0,1.5,52.82,100.0,76.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 641 days. | 🟠 Category signal: Special entity category 'Bar and Associations'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.,30.0,15.0,81.1,3.0,1.5,48.239999999999995,100.0,76.7,76.7,Recommendation-to-sanction approval delay of 641 days.
WS/MP18376/2026-2027/197886-Construction of footpaths and pedestrian ways,Maharashtra,MUMBAI(DISTRICT COLLECTOR MUMBAI CITY_IDA),ANIL YESHWANT DESAI,MUMBAI SOUTH CENTRAL,Normal/Others,"Near Shri Mangal Murti Bilding Javal, Agar Bajar Dadar (W)",2025-05-13,2026-08-18,3000000.0,462,Sanction,46.1,15.0,100.0,0.0,15.0,13.83,2.25,15.0,0.0,1.5,37.94,100.0,76.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 462 days.,85.0,70.0,75.2,8.5,7.0,48.08,100.0,76.6,76.6,Recommendation-to-sanction approval delay of 462 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18148/2025-2026/169196-Construction of building for veterinary aid centers,Odisha,KORAPUT(District Collector Koraput_IDA),BALABHADRA MAJHI,NABARANGPUR(ST),Trust and Society,"Construction of Training Centre and bathrooms at Gopal Gou Anusandhan Kendra, Aunli",2025-01-27,2026-03-31,1000000.0,428,Work Completed,80.5,15.0,100.0,0.0,15.0,24.15,2.25,15.0,0.0,1.5,51.7,100.0,76.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 428 days. | 🟠 Category signal: Special entity category 'Trust and Society'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.,20.0,30.0,80.7,2.0,3.0,47.9,100.0,76.6,76.6,Recommendation-to-sanction approval delay of 428 days.
"WS/MP422/2025-2026/141663-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,SUPAUL(DISTRICT PLANNING OFFICER SUPAUL_IDA),Dileshwar Kamait,SUPAUL,Normal/Others,SADAK KI UCHAIKARAN TATHA PCC DHALAI KARYA,2024-09-18,2025-09-10,1462770.0,357,Physical Inspection,25.1,15.0,75.0,100.0,15.0,7.53,2.25,11.25,10.0,1.5,40.79,100.0,76.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 357 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,76.3,8.5,7.0,48.03,100.0,76.6,76.6,Recommendation-to-sanction approval delay of 357 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18216/2025-2026/169821-Construction of rooms and halls in school and colleges,Uttar Pradesh,FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA),NARESH CHANDRA UTTAM PATEL,FATEHPUR,Trust and Society,A.P.PUBLIC UCHCHTAR MADHYAMIK VIDYALAY LADIGAWAN KE PRABANDHAK KO BHAVAN NIRMAN KARYA HETU DHANRASHI,2025-01-29,2026-03-07,1000000.0,402,Time Estimation,74.4,15.0,100.0,0.0,15.0,22.32,2.25,15.0,0.0,1.5,49.260000000000005,100.0,76.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 402 days. | 🟠 Category signal: Special entity category 'Trust and Society'.,40.0,30.0,79.7,4.0,3.0,48.07,100.0,76.6,76.6,Recommendation-to-sanction approval delay of 402 days.
