work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,v1_anomaly_score,cost_anomaly_score,delay_anomaly_score,duplicate_score,fund_utilization_score,v1_contrib,cost_contrib,delay_contrib,duplicate_contrib,fund_contrib,base_weighted_sum,max_signal,composite_risk_score,risk_level,risk_reasons,geographic_score,agency_score,v2_composite_score,geo_contrib,agency_contrib,real_weighted_sum,real_max_signal,real_composite_risk_score,final_composite_risk_score,unified_explanation
WS/MP18335/2024-2025/151029-Construction of culverts and bridges,Chhattisgarh,JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA),RADHE SHYAM RATHIYA,RAIGARH(ST),Normal/Others,"construction of Culvert, bridge",2024-11-06,2024-12-02,799717.0,26,Physical Inspection,16.2,15.0,15.0,100.00000000000004,15.0,4.86,2.25,2.25,10.0,1.5,28.23,100.00000000000004,71.4,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,71.3,8.5,7.0,36.36,100.00000000000004,71.4,71.4,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP479/2024-2025/140161-Lighting of public spaces,West Bengal,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),Saumitra khan,BISHNUPUR(SC),Normal/Others,"Installation of Solar LED Light with Pole (Lights 24Watt x 2, Pole 7mtr. Octagonal with Manual Ladder, Battery 12.8V,30A H Lithium ferro, Module 150Wp Solar Panel) Total 4 Nos. X 65000/ each",2024-09-10,2024-12-13,259864.0,94,Physical Inspection,11.4,15.0,45.0,100.0,15.0,3.42,2.25,6.75,10.0,1.5,30.81,100.0,71.4,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,80.0,45.0,72.3,8.0,4.5,36.42,100.0,71.4,71.4,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
"WS/MP18263/2026-2027/177884-Construction of roads, link roads, pathways or any other road with or without drainage system",Karnataka,UDUPI(DEPUTY COMMISSIONER UDUPI_IDA),KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,Normal/Others,"Udupi district, Brahmavar taluk, Karje grama panchayat area, Hosuru Village S.C Kitta house road development work (SC)",2025-02-27,2026-08-05,500000.0,524,Sanction,32.4,15.0,100.0,0.0,15.0,9.72,2.25,15.0,0.0,1.5,32.46,100.0,71.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 524 days.,35.0,45.0,73.0,3.5,4.5,36.47,100.0,71.4,71.4,Recommendation-to-sanction approval delay of 524 days.
WS/MP740/2026-2027/140334-Construction of community centers and community halls,Tamil Nadu,ERODE(DISTRICT_COLLECTORE_ERODE_IDA),Andimuthu Raja,NILGIRIS(SC),Normal/Others,Construction of Anganvadi Building at Thiruvalluvar Thindal (Ward No 19) Kottuveerampalayam at Sathyamanagalam Panchayat,2024-09-11,2026-05-25,1400000.0,621,Physical Inspection,37.3,15.0,100.0,0.0,15.0,11.19,2.25,15.0,0.0,1.5,34.42,100.0,71.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 621 days.,20.0,45.0,73.8,2.0,4.5,36.44,100.0,71.4,71.4,Recommendation-to-sanction approval delay of 621 days.
WS/MP743/2026-2027/190869-Construction of community centers and community halls,Tamil Nadu,CHENGALPATTU(District Collector Chengalpattu_IDA),Ganesan Selvam,KANCHEEPURAM(SC),Normal/Others,"Construction of PDS Building at Yarpakkam, Kinar Panchayat",2025-04-12,2026-05-23,1000000.0,406,Vendor Identification,28.7,15.0,100.0,0.0,15.0,8.61,2.25,15.0,0.0,1.5,30.98,100.0,71.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 406 days.,45.0,45.0,72.4,4.5,4.5,36.36,100.0,71.4,71.4,Recommendation-to-sanction approval delay of 406 days.
"WS/MP18308/2025-2026/145428-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,Normal/Others,"Construction of Ladikaran of Parisar at Shivshankar Mandir Parisar, Ward No.39, Malad (E)",2024-10-08,2025-07-01,1500000.0,266,Vendor Identification,32.1,15.0,75.0,0.0,15.0,9.63,2.25,11.25,0.0,1.5,28.59,75.0,71.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 266 days.,95.0,85.0,56.4,9.5,8.5,42.63,95.0,71.4,71.4,Recommendation-to-sanction approval delay of 266 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18089/2025-2026/178112-Development of public parks,Karnataka,RAICHUR(DEPUTY COMMISSIONER RAICHUR_IDA),K. RAJASHEKAR BASAVARAJ HITNAL,KOPPAL,Normal/Others,Park development work in Kanakadasa Murthy premises near Police Station in Bawarda No.02 of Turivihal town under Koppal Lok Sabha Constituency.,2025-03-01,2026-03-11,500000.0,375,Vendor Identification,29.2,15.0,100.0,0.0,15.0,8.76,2.25,15.0,0.0,1.5,31.18,100.0,71.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 375 days.,35.0,55.0,72.5,3.5,5.5,36.51,100.0,71.4,71.4,Recommendation-to-sanction approval delay of 375 days.
WS/MP618/2025-2026/171214-Construction of community centers and community halls,Karnataka,BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA),Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,Normal/Others,Construction of Community Hall in GOTHE Village Property No.632,2025-02-05,2026-02-17,500000.0,377,Work Completed,34.1,15.0,100.0,0.0,15.0,10.23,2.25,15.0,0.0,1.5,33.14,100.0,71.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 377 days.,30.0,45.0,73.3,3.0,4.5,36.480000000000004,100.0,71.4,71.4,Recommendation-to-sanction approval delay of 377 days.
"WS/MP18335/2024-2025/152916-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA),RADHE SHYAM RATHIYA,RAIGARH(ST),Normal/Others,Road construction/upgradation work,2024-11-17,2024-12-11,799968.0,24,Physical Inspection,16.2,15.0,15.0,100.0,15.0,4.86,2.25,2.25,10.0,1.5,28.23,100.0,71.4,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,71.3,8.5,7.0,36.36,100.0,71.4,71.4,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18335/2024-2025/150986-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA),RADHE SHYAM RATHIYA,RAIGARH(ST),Normal/Others,Road Upgradation Construction work by cutting Ghat(hill slope),2024-11-06,2024-12-02,1199532.0,26,Physical Inspection,16.7,15.0,15.0,100.0,15.0,5.01,2.25,2.25,10.0,1.5,28.43,100.0,71.4,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,71.4,8.5,7.0,36.51,100.0,71.4,71.4,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
