node_id,label,type,work_count,total_amount,avg_risk,critical_count,degree_centrality,agency_network_score
IDA:THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA),THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA),IDA,61,56765349.0,55.9,22,0.0018,70.0
IDA:Bara Banki(DISTRICT MAGISTRATE BARABANKI_IDA),Bara Banki(DISTRICT MAGISTRATE BARABANKI_IDA),IDA,16,44681913.0,58.0,8,0.0006,70.0
IDA:SOUTH WEST GARO HILLS(DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA),SOUTH WEST GARO HILLS(DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA),IDA,14,3500000.0,64.8,10,0.0006,70.0
IDA:WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),IDA,48,31000000.0,59.5,34,0.0006,70.0
IDA:SOUTH GARO HILLS(DEPUTY COMMISSIONER BAGHMARA_IDA),SOUTH GARO HILLS(DEPUTY COMMISSIONER BAGHMARA_IDA),IDA,9,2500000.0,68.8,5,0.0006,70.0
IDA:VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA),VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA),IDA,3,975000.0,73.0,3,0.0006,70.0
IDA:TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA),TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA),IDA,34,58540763.0,54.8,7,0.0018,70.0
IDA:NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA),NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA),IDA,21,11289949.0,54.8,6,0.0006,70.0
IDA:SIVASAGAR(Deputy Commissioner Sivsagar_IDA),SIVASAGAR(Deputy Commissioner Sivsagar_IDA),IDA,37,7946628.0,57.0,7,0.0006,70.0
IDA:GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),IDA,22,32472812.0,53.8,5,0.0012,70.0
IDA:LATUR(DISTRICT COLLECTOR LATUR_IDA),LATUR(DISTRICT COLLECTOR LATUR_IDA),IDA,30,27160511.0,61.9,15,0.0012,70.0
IDA:MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA),MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA),IDA,43,32489904.0,50.2,12,0.0006,70.0
IDA:PUNE(DISTRICT COLLECTOR PUNE_IDA),PUNE(DISTRICT COLLECTOR PUNE_IDA),IDA,114,89983751.0,55.9,45,0.0025,70.0
IDA:CHHATARPUR(District Collector Chhatarpur_IDA),CHHATARPUR(District Collector Chhatarpur_IDA),IDA,29,20426061.0,50.6,15,0.0012,70.0
IDA:KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA),KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA),IDA,51,21609763.0,52.1,7,0.0006,70.0
IDA:BURHANPUR(District Collector Burhanpur_IDA),BURHANPUR(District Collector Burhanpur_IDA),IDA,25,8526100.0,56.3,16,0.0006,70.0
IDA:CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),IDA,49,20230237.0,60.8,20,0.0018,70.0
IDA:SATNA(DISTRICT COLLECTOR SATNA_IDA),SATNA(DISTRICT COLLECTOR SATNA_IDA),IDA,139,27252500.0,64.8,85,0.0006,70.0
IDA:KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),IDA,128,44401335.0,64.3,78,0.0018,70.0
IDA:KODERMA(DEPUTY COMMISSIONER KODARMA_IDA),KODERMA(DEPUTY COMMISSIONER KODARMA_IDA),IDA,55,16325638.0,59.6,11,0.0006,70.0
IDA:DURG(DISTRICT COLLECTOR DURG_IDA),DURG(DISTRICT COLLECTOR DURG_IDA),IDA,49,11137181.0,68.3,43,0.0006,70.0
IDA:MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),IDA,173,68784637.0,57.1,27,0.0018,70.0
IDA:BHANDARA(DISTRICT COLLECTOR BHANDARA_IDA),BHANDARA(DISTRICT COLLECTOR BHANDARA_IDA),IDA,17,11572033.0,68.7,13,0.0006,70.0
IDA:Eluru(DISTRICT COLLECTOR ELURU_IDA),Eluru(DISTRICT COLLECTOR ELURU_IDA),IDA,61,41569092.0,68.8,49,0.0006,70.0
IDA:GADAG(Deputy Commsioner Gadag_ida),GADAG(Deputy Commsioner Gadag_ida),IDA,23,14300000.0,52.6,7,0.0012,70.0
IDA:SEHORE(DISTRICT COLLECTOR SEHORE_IDA),SEHORE(DISTRICT COLLECTOR SEHORE_IDA),IDA,23,16978274.0,58.1,15,0.0012,70.0
IDA:KUMURAM BHEEM ASIFABAD(District Collector KB Asifabad_IDA),KUMURAM BHEEM ASIFABAD(District Collector KB Asifabad_IDA),IDA,53,7750000.0,57.2,32,0.0006,70.0
IDA:Dahod(DISTRICT COLLECTOR DOHAD_IDA),Dahod(DISTRICT COLLECTOR DOHAD_IDA),IDA,123,40881038.0,55.5,51,0.0006,70.0
IDA:MADURAI(DISTRICT COLLECTOR MADURAI_IDA),MADURAI(DISTRICT COLLECTOR MADURAI_IDA),IDA,43,44121412.0,53.1,7,0.0018,70.0
IDA:CHHOTAUDEPUR(DISTRICT COLLECTOR CHHOTA UDEPUR_IDA),CHHOTAUDEPUR(DISTRICT COLLECTOR CHHOTA UDEPUR_IDA),IDA,36,16936022.0,64.3,28,0.0006,70.0
IDA:BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),IDA,14,14180980.0,62.4,10,0.0006,70.0
