work_id_1,work_id_2,mp_name,constituency,state,description_1,description_2,similarity_score,sanction_amount_1,sanction_amount_2,sanction_date_1,sanction_date_2,days_difference,potential_split_work,audit_alert
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183203-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183214-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183204-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183205-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183206-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183207-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183208-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183209-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183210-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183211-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183212-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183213-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183240-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183242-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183190-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/182997-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/182986-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/182987-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/182988-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/182989-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/182990-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/182992-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-07-03,45,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/182993-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/182994-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/182995-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/182996-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/182998-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-31,12,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/182984-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/183002-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/183003-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/183004-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182982-Street lights,WS/MP18149/2025-2026/183005-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-05-19,0,True,Potentially Similar Work — Requires Human Verification
