work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,duplicate_similarity_score,similar_work_id,is_duplicate_flag,mp_allocated_limit,mp_total_sanctioned,mp_utilization_pct,work_status,anomaly_label,anomaly_score,risk_score,risk_level,shap_top_attribution,anomaly_reason
"WS/  MP005/2025-2026/196993-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of Paver Block Work at Gadva Asphalt Road towards Dahyabhai udhbhai House Area,2025-05-06,2025-07-10,98596.0,65,0.2882,"WS/  MP005/2025-2026/196992-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,34676131.0,23.59,Physical Inspection,1,0.07625100017496739,14.4,Low,state_Gujarat (-1.1139),Standard project parameters within normal baseline limits.
"WS/  MP005/2025-2026/196994-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of CC Road Work at Sidri Talav Area Jesangbhai Abhabhai House Area,2025-05-06,2025-07-10,147191.0,65,0.2284,"WS/  MP005/2025-2026/197005-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,34676131.0,23.59,Physical Inspection,1,0.07951090879030742,12.0,Low,state_Gujarat (-1.0971),Standard project parameters within normal baseline limits.
"WS/  MP005/2025-2026/196995-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of Paver Block Work at Vantanagar Approach Road towards natubhai Punjabhai  Area,2025-05-06,2025-07-10,147135.0,65,0.1258,"WS/  MP005/2025-2026/175204-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,34676131.0,23.59,Physical Inspection,1,0.07951090879030742,8.9,Low,state_Gujarat (-1.0971),Standard project parameters within normal baseline limits.
"WS/  MP005/2025-2026/196997-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of Paver Block at Dineshbhai House towards Bachubhai house Area,2025-05-06,2025-07-10,200000.0,65,0.1474,"WS/  MP005/2025-2026/182101-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,34676131.0,23.59,Sanction,1,0.058037893942614105,13.3,Low,state_Gujarat (-1.0972),Standard project parameters within normal baseline limits.
"WS/  MP005/2025-2026/196998-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of Paver Block Work at Daduram Faliya Area,2025-05-06,2025-07-10,294348.0,65,1.0,"WS/  MP005/2025-2026/175161-Construction of roads, link roads, pathways or any other road with or without drainage system",True,147000000.0,34676131.0,23.59,Physical Inspection,1,0.0818393183154672,34.8,Low,state_Gujarat (-1.0623),"High text similarity (100.0%) with work 'WS/  MP005/2025-2026/175161-Construction of roads, link roads, pathways or any other road with or without drainage system' under the same MP (Potential duplicate recommendation / split billing)."
"WS/  MP005/2025-2026/196999-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of CC Road Iyava vala Faliya Asphalt Road towards Ramanbhai Chanda House AREA,2025-05-06,2025-07-10,200000.0,65,0.1618,"WS/  MP005/2025-2026/197004-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,34676131.0,23.59,Sanction,1,0.058037893942614105,13.7,Low,state_Gujarat (-1.0972),Standard project parameters within normal baseline limits.
"WS/  MP005/2025-2026/197000-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of Paver Block  Near Water Tank Area,2025-05-06,2025-07-10,196650.0,65,0.1958,WS/  MP005/2025-2026/182132-Construction of boundary walls of existing public and community buildings,False,147000000.0,34676131.0,23.59,Physical Inspection,1,0.08135779445869107,10.7,Low,state_Gujarat (-1.0818),Standard project parameters within normal baseline limits.
"WS/  MP005/2025-2026/197001-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of CC Road  towards Crematorium Iyawa Village,2025-05-06,2025-07-10,200000.0,65,0.2141,"WS/  MP005/2025-2026/197004-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,34676131.0,23.59,Sanction,1,0.058037893942614105,15.3,Low,state_Gujarat (-1.0972),Standard project parameters within normal baseline limits.
"WS/  MP005/2025-2026/197003-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of Paver Block Work at Harinagar Area,2025-05-06,2025-07-10,147135.0,65,0.2078,"WS/  MP005/2025-2026/175204-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,34676131.0,23.59,Physical Inspection,1,0.07951090879030742,11.4,Low,state_Gujarat (-1.0971),Standard project parameters within normal baseline limits.
"WS/  MP005/2025-2026/197004-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of CC Road Arvindbhai Dodiya House Area,2025-05-06,2025-07-10,147168.0,65,0.2302,"WS/  MP005/2025-2026/175177-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,34676131.0,23.59,Physical Inspection,1,0.07951090879030742,12.1,Low,state_Gujarat (-1.0971),Standard project parameters within normal baseline limits.
