work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,duplicate_similarity_score,similar_work_id,is_duplicate_flag,mp_allocated_limit,mp_total_sanctioned,mp_utilization_pct,work_status,anomaly_label,anomaly_score,risk_score,risk_level,shap_top_attribution,anomaly_reason
WS/MP479/2024-2025/138368-Installing community drinking water plants,West Bengal,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),Saumitra khan,BISHNUPUR(SC),Normal/Others,Installation of water Purifier. (2 Nos. X 135000/-each)= Rs.270000/-,2024-09-02,2024-12-13,269808.0,102,0.4498,WS/MP479/2024-2025/138775-Installing community drinking water plants,False,147000000.0,71102321.0,48.37,Physical Inspection,1,0.07610722861231328,19.2,Low,state_West Bengal (-1.0041),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138441-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road from H/O Arjun Sardar to Haribasartala.(79 mtr),2024-09-02,2024-11-21,190783.0,80,0.0655,"WS/MP423/2024-2025/138445-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.07424190152034493,8.0,Low,state_West Bengal (-1.0324),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138442-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road from H/O Paritosh Safui to H/O Sarama Safui at Prasadpur.(52 mtr),2024-09-02,2024-11-21,149044.0,80,0.0228,"WS/MP423/2024-2025/138441-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.07349492210849884,6.9,Low,state_West Bengal (-1.0344),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138443-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road from H/O Mantu Mondal near Panarala F.P. School to H/O Manas Mondal. (60 mtr),2024-09-02,2024-11-21,137255.0,80,0.0742,"WS/MP423/2024-2025/137557-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.07349492210849884,8.4,Low,state_West Bengal (-1.0345),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138444-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road from H/O Bulo Kumar to H/O Naresh Kumar at Hanta. (45 mtr),2024-09-02,2024-11-21,149876.0,80,0.0812,"WS/MP423/2024-2025/138043-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.07349492210849884,8.6,Low,state_West Bengal (-1.0344),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138445-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C. road with protection  wall from Shop of Babulala Sardar to H/O Judhistri Sardar at Raskhali. (86 mtr),2024-09-02,2024-12-31,267517.0,120,0.1484,"WS/MP423/2024-2025/138455-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.0754549457202352,10.3,Low,state_West Bengal (-1.0113),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138446-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road from H/O Bablu Mondal to H/O Nantu Purkait.(61 mtr),2024-09-02,2024-11-21,348342.0,80,0.1013,"WS/MP423/2024-2025/138679-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.07524816869826534,8.9,Low,state_West Bengal (-0.9886),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138447-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road from H/O Altaf Sepai to H/O Sabina Bibi at Gandhabaduli. (121 mtr),2024-09-02,2024-11-21,203187.0,80,0.0512,"WS/MP423/2024-2025/139244-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.0745292973578332,7.6,Low,state_West Bengal (-1.0299),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138448-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road from H/O Ayesh Pramanik towards Ghuna Naru's House. (69 mtr),2024-09-02,2024-12-10,235581.0,99,0.08,"WS/MP423/2024-2025/138674-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.07420953919887269,8.5,Low,state_West Bengal (-1.0314),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138449-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road from H/O Karim Sardar to H/O Sekendar Kazi. (80 mtr),2024-09-02,2024-11-21,153261.0,80,0.0765,"WS/MP423/2024-2025/137574-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.07349492210849884,8.5,Low,state_West Bengal (-1.0344),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138450-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road from H/O Bimal Santra towards H/O Kayem Molla.(126.5 mtr),2024-09-02,2024-11-21,349963.0,80,0.1102,"WS/MP423/2024-2025/138453-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.07524816869826534,9.2,Low,state_West Bengal (-0.9886),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138451-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road from 18 No ICDS Centre towards H/O Kalipada Mondal at Uttar Kazirhat. (48 mtr),2024-09-02,2024-11-21,199362.0,80,0.0722,"WS/MP423/2024-2025/137559-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.0745292973578332,8.2,Low,state_West Bengal (-1.0299),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138452-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road from Jora Kali Mandir towards H/O Laxman Das at Gotberia. (42 mtr),2024-09-02,2024-11-21,149635.0,80,0.0977,"WS/MP423/2024-2025/138280-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.07349492210849884,9.1,Low,state_West Bengal (-1.0344),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138453-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road from H/O Jayanta Sardar to H/O Dilip Naskar at Chakrasunmamud. (126 mtr),2024-09-02,2024-12-26,349830.0,115,0.1102,"WS/MP423/2024-2025/138450-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.07286360243580314,9.6,Low,state_West Bengal (-1.0154),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138454-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road with Protection Wall from H/O Bablu Gazi to H/O  Ambiya Molla at Baidyapara. (32 mtr),2024-09-02,2024-11-21,194994.0,80,0.173,"WS/MP423/2024-2025/138455-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.0745292973578332,11.2,Low,state_West Bengal (-1.0298),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138455-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road with Protection Wall from H/O Younus Khan to H/O Hafizul Molla. (24.10 mtr),2024-09-02,2024-12-26,148064.0,115,0.173,"WS/MP423/2024-2025/138454-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.07082907563079927,11.9,Low,state_West Bengal (-1.0641),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138456-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road from H/O Badan Bar to Ghosh Para Culvert. (120 mtr),2024-09-02,2024-11-21,247885.0,80,0.0811,"WS/MP423/2024-2025/138827-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.07472010818724134,8.4,Low,state_West Bengal (-1.0201),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138457-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road from H/O Javed Mallick to H/O Iliyash Molla. (53 mtr),2024-09-02,2024-11-21,110431.0,80,0.0728,"WS/MP423/2025-2026/138462-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.07081027875005425,8.9,Low,state_West Bengal (-1.0518),Standard project parameters within normal baseline limits.
WS/MP423/2024-2025/138458-Construction of culverts and bridges,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of Concrete Culvert near the H/O Ramprasad Kayal at Kalmikhali.,2024-09-02,2024-11-21,293375.0,80,0.0532,"WS/MP423/2024-2025/138046-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.07755888214657014,7.1,Low,state_West Bengal (-0.9881),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138459-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Repair and Renovation,Beutification and Renovation of Chandi Doulatabad BPHC.,2024-09-02,2024-11-21,449568.0,80,0.0596,WS/MP423/2024-2025/138922-Construction of public libraries and reading rooms,False,147000000.0,48618624.0,33.07,Physical Inspection,-1,-0.01130695667931192,25.7,Low,work_category_Normal/Others (-2.1517),Overall project pattern is anomalous compared with national baseline records.
"WS/MP423/2024-2025/138460-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road from Jagannathpur H/O Gour Mohan Dey to H/O Pintu Halder Under Ashuti-II GP. (150 mtr),2024-09-02,2025-01-09,449616.0,129,0.0932,"WS/MP423/2024-2025/138044-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.07256405140121241,9.2,Low,state_West Bengal (-1.0319),Standard project parameters within normal baseline limits.
"WS/MP423/2024-2025/138461-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road with road protection wall from Rasapunja H/O Balai Naskar to H/O Montu Naskar at Rasapunja. (55 mtr),2024-09-02,2025-01-09,199845.0,129,0.2062,"WS/MP423/2024-2025/138463-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.06995613544611623,13.0,Low,state_West Bengal (-1.0646),Standard project parameters within normal baseline limits.
"WS/MP423/2025-2026/138462-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road from house of Manu Mallick to house of Rustam Mallick under Chatta GP. (148.5 mtr),2024-09-02,2025-05-02,800000.0,242,0.0806,"WS/MP423/2024-2025/138847-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Work Completed,1,0.02603399495912173,16.8,Low,state_West Bengal (-1.0464),"Sanction amount (₹ 800,000) is 2.7x higher than the typical amount for work category 'Normal/Others'. | Sanction delay (242 days) is 3.0x higher than the typical approval time for authority 'South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)'."
"WS/MP423/2024-2025/138463-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Normal/Others,Construction of C.C road with road protection wall from H/O Prabir Mondal to H/O Krishnendu Das at Ganneygangadharpur. (145 mtr),2024-09-02,2025-01-09,349139.0,129,0.2062,"WS/MP423/2024-2025/138461-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48618624.0,33.07,Physical Inspection,1,0.07074907612659997,12.9,Low,state_West Bengal (-1.022),Standard project parameters within normal baseline limits.
WS/MP18074/2024-2025/138464-Development of playfields and sports grounds,Jharkhand,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Normal/Others,Construction work of playground at Ursaline Convent Samtoli in the town of Simdega block.,2024-09-02,2024-10-14,1300000.0,42,0.0841,WS/MP18074/2024-2025/138472-Construction of public libraries and reading rooms,False,147000000.0,48958000.0,33.3,Work Completed,1,0.0004157609379110694,21.4,Low,state_Jharkhand (-2.1705),"Sanction amount (₹ 1,300,000) is 4.3x higher than the typical amount for work category 'Normal/Others'."
"WS/MP18074/2024-2025/138465-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Normal/Others,Construction of PCC path from Praveen Baah's house towards James Dungdung's house in Banghatoli village of Konjoba Panchayat of Kersai block.,2024-09-02,2024-10-02,600000.0,30,0.1896,WS/MP18074/2024-2025/138466-Providing drains and gutters for public drainage,False,147000000.0,48958000.0,33.3,Work Completed,1,0.011314033819284919,22.7,Low,state_Jharkhand (-2.2386),Standard project parameters within normal baseline limits.
WS/MP18074/2024-2025/138466-Providing drains and gutters for public drainage,Jharkhand,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Normal/Others,Construction of drain from Turi Toli resident Sandeep Kumar's house towards Guddu Turi's house in Konjoba Panchayat of Kersai block.,2024-09-02,2024-10-14,400000.0,42,0.1896,"WS/MP18074/2024-2025/138465-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48958000.0,33.3,Work Completed,1,0.014074915242133113,22.2,Low,state_Jharkhand (-2.1728),Standard project parameters within normal baseline limits.
"WS/MP18074/2024-2025/138467-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Normal/Others,Construction of PCC path near Rameshwar's farm in Kutmakchar Panchayat of Kurdeg block.,2024-09-02,2024-10-02,400000.0,30,0.2996,"WS/MP18074/2024-2025/138469-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48958000.0,33.3,Work Completed,1,0.013934091002908766,25.5,Low,state_Jharkhand (-2.1574),Standard project parameters within normal baseline limits.
"WS/MP18074/2024-2025/138468-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Normal/Others,Construction of PCC Road near Salaya tree located in Banghatoli in Kutmakchar Panchayat of Kurdeg block.,2024-09-02,2024-10-02,400000.0,30,0.2941,"WS/MP18074/2024-2025/138467-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48958000.0,33.3,Work Completed,1,0.013934091002908766,25.3,Low,state_Jharkhand (-2.1574),Standard project parameters within normal baseline limits.
"WS/MP18074/2024-2025/138469-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Normal/Others,Construction of PCC Road from Jhimri to Dhori Patra path of Kutmakchar Panchayat of Kurdeg block.,2024-09-02,2024-10-02,600000.0,30,0.2996,"WS/MP18074/2024-2025/138467-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48958000.0,33.3,Work Completed,1,0.011314033819284919,26.0,Low,state_Jharkhand (-2.2386),Standard project parameters within normal baseline limits.
"WS/MP18074/2024-2025/138470-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Normal/Others,Construction of PCC Road in Naneshera Devantoli in Kesalpur Panchayat of Pakar tanr block.,2024-09-02,2024-10-02,600000.0,30,0.4741,"WS/MP18074/2024-2025/138471-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48958000.0,33.3,Work Completed,1,0.011314033819284919,31.2,Low,state_Jharkhand (-2.2386),Standard project parameters within normal baseline limits.
"WS/MP18074/2024-2025/138471-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Normal/Others,Construction of PCC Road in Naneshera Tongritoli path in Keshalapur Panchayat of Pakar tanr block.,2024-09-02,2024-10-02,600000.0,30,0.4741,"WS/MP18074/2024-2025/138470-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48958000.0,33.3,Work Completed,1,0.011314033819284919,31.2,Low,state_Jharkhand (-2.2386),Standard project parameters within normal baseline limits.
WS/MP18074/2024-2025/138472-Construction of public libraries and reading rooms,Jharkhand,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Normal/Others,Construction of library building near (Maktab) Madrasa in Khairantoli under Simdega block.,2024-09-02,2024-10-14,1000000.0,42,0.0841,WS/MP18074/2024-2025/138464-Development of playfields and sports grounds,False,147000000.0,48958000.0,33.3,Work Completed,1,0.006144093681214158,20.4,Low,state_Jharkhand (-2.2292),"Sanction amount (₹ 1,000,000) is 3.3x higher than the typical amount for work category 'Normal/Others'."
"WS/MP18074/2024-2025/138473-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Normal/Others,Construction of PCC Road from Barwadih road towards Sebartoli under Kolebira block.,2024-09-02,2024-10-02,700000.0,30,0.1514,"WS/MP18074/2024-2025/138474-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48958000.0,33.3,Work Completed,1,0.011520261070284588,21.5,Low,state_Jharkhand (-2.1997),"Sanction amount (₹ 700,000) is 2.8x higher than the median sanction amount in Jharkhand."
"WS/MP18074/2024-2025/138474-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Normal/Others,Construction of PCC Road from Bano Road Bongram Pucca Road towards Pahantoli under Kolebira block.,2024-09-02,2024-10-02,600000.0,30,0.1514,"WS/MP18074/2024-2025/138473-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48958000.0,33.3,Work Completed,1,0.011314033819284919,21.5,Low,state_Jharkhand (-2.2386),Standard project parameters within normal baseline limits.
"WS/MP18074/2024-2025/138475-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Normal/Others,Construction of PCC Road from Bolba main road via PHC towards Doctor Quarter under Bolba block.,2024-09-02,2024-10-02,500000.0,30,0.0871,"WS/MP18074/2024-2025/140232-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48958000.0,33.3,Work Completed,1,0.012784726106868927,19.3,Low,state_Jharkhand (-2.2158),Standard project parameters within normal baseline limits.
"WS/MP18074/2024-2025/138476-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Normal/Others,Construction of PCC Road from village Ginikera Bartoli Sadam Chaaki towards Jamgachh of Urte Panchayat under Bansjor Block.,2024-09-02,2024-10-02,600000.0,30,0.2188,"WS/MP18074/2024-2025/138477-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48958000.0,33.3,Work Completed,1,0.011314033819284919,23.5,Low,state_Jharkhand (-2.2386),Standard project parameters within normal baseline limits.
"WS/MP18074/2024-2025/138477-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Normal/Others,Construction of PCC road in Gidiburu of Urate Panchayat under Bansjor Block.,2024-09-02,2024-10-02,600000.0,30,0.2188,"WS/MP18074/2024-2025/138476-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48958000.0,33.3,Work Completed,1,0.011314033819284919,23.5,Low,state_Jharkhand (-2.2386),Standard project parameters within normal baseline limits.
"WS/MP18074/2024-2025/138478-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Normal/Others,Construction of PCC road in Bendosera Kudatoli of Parka Revenue Village under Jaldega Block.,2024-09-02,2024-10-02,600000.0,30,0.0477,"WS/MP18074/2024-2025/160738-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48958000.0,33.3,Work Completed,1,0.011314033819284919,18.4,Low,state_Jharkhand (-2.2386),Standard project parameters within normal baseline limits.
"WS/MP18074/2024-2025/138479-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Normal/Others,Construction of PCC road in Kusumtoli of Thethaitanger Panchayat under Thethaitanger Block.,2024-09-02,2024-10-02,500000.0,30,0.0614,"WS/MP18074/2024-2025/137040-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,48958000.0,33.3,Work Completed,1,0.012784726106868927,18.6,Low,state_Jharkhand (-2.2158),Standard project parameters within normal baseline limits.
WS/MP18023/2024-2025/138480-Construction of boundary walls of existing public and community buildings,Assam,KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA),BIJULI KALITA MEDHI,GUWAHATI,Normal/Others,Construction of boundary wall of community hall at Bhetapara Jyoti Path,2024-09-02,2024-10-15,700000.0,43,0.232,WS/MP18023/2024-2025/138483-Construction of boundary walls of existing public and community buildings,False,147000000.0,44700000.0,30.41,Vendor Identification,1,0.01747593677921061,22.9,Low,state_Assam (-2.0891),Standard project parameters within normal baseline limits.
WS/MP18023/2024-2025/138481-Construction of community centers and community halls,Assam,KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA),BIJULI KALITA MEDHI,GUWAHATI,Normal/Others,"Construction of Community Hall at Amiya Nagar Unnayan Samity , Chandmari.",2024-09-02,2024-12-10,1300000.0,99,0.1961,WS/MP18023/2024-2025/136757-Construction of additional rooms and halls in the existing public and community building,False,147000000.0,44700000.0,30.41,Vendor Identification,1,0.009021290247469227,23.2,Low,state_Assam (-2.1023),"Sanction amount (₹ 1,300,000) is 4.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP18023/2025-2026/138482-Retrofitting in essential lifeline buildings,Assam,KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA),BIJULI KALITA MEDHI,GUWAHATI,Repair and Renovation,Retrofitting in buliding at Krishna nagar Bikash Kendra . Chandmari,2024-09-02,2025-08-20,300000.0,352,0.1799,WS/MP18023/2024-2025/136757-Construction of additional rooms and halls in the existing public and community building,False,147000000.0,44700000.0,30.41,Vendor Identification,-1,-0.06839171461345972,39.2,Low,work_category_Normal/Others (-2.0149),Overall project pattern is anomalous compared with national baseline records.
WS/MP18023/2024-2025/138483-Construction of boundary walls of existing public and community buildings,Assam,KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA),BIJULI KALITA MEDHI,GUWAHATI,Normal/Others,"Construction of boundary wall at Ujjal Nagar Namghar , Hengrabari .",2024-09-02,2024-12-27,1000000.0,116,0.232,WS/MP18023/2024-2025/138480-Construction of boundary walls of existing public and community buildings,False,147000000.0,44700000.0,30.41,Vendor Identification,1,0.016401097760472105,23.0,Low,state_Assam (-2.1018),"Sanction amount (₹ 1,000,000) is 3.3x higher than the typical amount for work category 'Normal/Others'."
